participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note,workload_score
p01,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,736.0,99.0,3.0,123.0,4.46,4.37,6.74,5.97,4.23,4.98,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.415
p01,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,815.0,83.0,3.0,85.0,4.31,4.72,6.07,5.54,4.17,5.98,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.515
p01,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,582.0,81.0,5.0,67.0,5.13,4.02,5.23,4.78,4.86,4.78,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.575
p01,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,697.0,77.0,4.0,87.0,4.49,4.56,5.93,5.44,3.22,4.73,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.525
p01,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,952.0,67.0,5.0,127.0,5.89,6.19,4.07,5.09,3.35,5.1,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,6.04
p01,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,595.0,93.0,2.0,75.0,4.52,4.26,5.55,5.56,3.41,4.67,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.39
p02,terminal_first,terminal,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,510.0,86.0,2.0,74.0,4.06,4.22,5.81,5.83,2.76,4.68,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.14
p02,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,886.0,65.0,4.0,155.0,5.59,5.33,4.82,5.01,2.32,3.98,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.46
p02,terminal_first,terminal,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,529.0,85.0,3.0,80.0,4.33,4.68,5.64,6.3,3.93,5.22,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.505
p02,terminal_first,canvas,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,759.0,84.0,2.0,72.0,4.12,3.64,6.74,4.75,3.85,6.12,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.88
p02,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,704.0,81.0,5.0,62.0,3.23,4.95,6.34,6.35,4.72,6.55,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.09
p02,terminal_first,canvas,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,540.0,87.0,3.0,79.0,4.8,4.8,5.35,4.86,3.96,4.84,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.8
p03,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,742.0,83.0,5.0,96.0,3.85,4.22,5.28,5.95,4.37,5.88,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.035
p03,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,721.0,86.0,3.0,89.0,3.6,4.94,5.99,5.47,4.42,4.63,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.27
p03,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,709.0,87.0,4.0,100.0,4.16,5.06,5.51,5.94,4.21,4.89,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.61
p03,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,583.0,67.0,4.0,106.0,4.84,4.58,4.89,6.18,4.81,5.02,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.71
p03,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,920.0,74.0,6.0,115.0,5.0,4.76,4.99,3.91,2.8,4.47,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.88
