participant_id,interface_condition,condition_order,mean_completion_seconds,mean_task_success_pct,mean_intervention_count,mean_recovery_latency_seconds,mean_workload_score,mean_transparency_score,mean_control_score,mean_plan_recall_score,mean_reuse_score
p01,canvas,canvas_first,711.0,87.667,3.667,91.667,4.502,6.013,5.43,4.42,5.247
p01,terminal,canvas_first,748.0,79.0,3.667,96.333,4.985,5.183,5.363,3.327,4.833
p02,canvas,terminal_first,667.667,84.0,3.333,71.0,4.257,6.143,5.32,4.177,5.837
p02,terminal,terminal_first,641.667,78.667,3.0,103.0,4.702,5.423,5.713,3.003,4.627
p03,canvas,canvas_first,724.0,85.333,4.0,95.0,4.305,5.593,5.787,4.333,5.133
p03,terminal,canvas_first,693.0,75.0,4.333,95.0,4.618,5.43,5.19,3.667,4.96
p04,canvas,terminal_first,698.333,81.0,3.333,91.333,4.218,5.64,5.27,3.833,5.127
p04,terminal,terminal_first,682.333,78.0,3.0,102.0,4.943,5.393,5.207,2.593,4.957
p05,canvas,canvas_first,642.0,81.333,3.667,101.333,3.903,6.013,5.543,3.793,6.207
p05,terminal,canvas_first,660.0,84.333,4.0,96.0,4.55,5.38,5.37,2.55,5.093
p06,canvas,terminal_first,647.667,84.333,4.0,75.333,4.1,5.783,5.467,4.707,4.68
p06,terminal,terminal_first,710.0,80.0,5.0,98.667,5.045,5.723,5.393,2.927,4.62
p08,canvas,terminal_first,636.333,91.0,3.0,92.333,3.943,5.78,5.423,4.43,4.81
p08,terminal,terminal_first,682.333,83.333,3.667,117.333,4.638,5.067,5.55,3.06,5.437
p09,canvas,canvas_first,647.667,81.333,4.0,91.333,4.347,5.87,5.323,4.52,5.423
p09,terminal,canvas_first,652.0,80.667,3.667,90.0,4.658,5.317,5.563,3.083,4.747
p10,canvas,terminal_first,712.333,84.0,4.0,105.0,3.925,4.983,5.59,4.343,5.61
p10,terminal,terminal_first,675.333,80.0,3.667,107.333,4.338,5.07,5.117,2.767,5.26
p11,canvas,canvas_first,732.333,81.333,3.0,77.667,3.752,5.783,5.813,4.023,4.97
p11,terminal,canvas_first,666.0,78.667,2.333,90.667,4.438,5.217,5.96,2.933,4.707
p12,canvas,terminal_first,715.333,81.0,4.333,82.333,4.438,5.69,5.753,4.04,5.59
p12,terminal,terminal_first,770.667,79.667,3.0,104.333,4.813,5.233,4.967,3.163,4.517
p13,canvas,canvas_first,709.667,84.0,3.0,81.667,4.322,5.61,5.2,3.327,4.95
p13,terminal,canvas_first,683.333,77.0,3.667,86.0,4.55,5.933,5.203,3.623,5.123
p14,canvas,terminal_first,682.667,84.0,2.667,92.0,4.13,5.733,5.507,3.863,5.307
p14,terminal,terminal_first,676.333,86.0,4.667,95.333,4.54,5.877,5.54,3.017,5.483
p15,canvas,canvas_first,611.667,75.667,3.667,83.667,4.1,5.31,5.763,4.567,5.637
p15,terminal,canvas_first,733.667,80.333,3.667,90.0,4.532,5.007,5.337,3.183,4.983
p16,canvas,terminal_first,702.333,82.667,4.0,97.0,3.887,5.61,5.75,4.883,5.213
p16,terminal,terminal_first,655.0,82.0,3.667,113.0,4.388,5.723,5.703,3.153,4.98
p17,canvas,canvas_first,638.0,85.667,3.667,79.667,4.423,5.54,5.23,3.867,4.633
p17,terminal,canvas_first,635.667,76.333,3.333,93.0,5.197,5.453,4.863,2.56,5.397
p18,canvas,terminal_first,731.667,76.333,2.667,75.667,3.67,5.717,5.273,4.17,5.697
p18,terminal,terminal_first,653.667,74.333,3.333,88.0,4.737,5.47,5.263,2.813,4.67
p20,canvas,terminal_first,721.667,80.333,2.333,78.333,3.92,5.367,5.12,4.267,5.313
p20,terminal,terminal_first,697.333,78.667,4.0,88.0,4.505,5.07,5.997,2.88,4.87
p21,canvas,canvas_first,632.333,83.333,3.667,63.333,4.137,5.11,5.007,4.473,5.777
p21,terminal,canvas_first,645.333,85.0,3.0,95.0,4.895,6.06,5.45,2.53,5.11
p22,canvas,terminal_first,699.0,80.333,3.0,84.0,3.808,6.08,4.983,4.157,4.687
p22,terminal,terminal_first,702.0,73.0,3.667,104.333,4.665,4.983,5.557,2.83,5.427
p23,canvas,canvas_first,724.333,74.0,3.0,86.667,4.165,5.457,5.61,4.147,5.497
p23,terminal,canvas_first,686.333,76.0,3.333,94.667,4.602,5.597,4.81,2.86,4.707
p24,canvas,terminal_first,678.667,86.333,2.667,95.0,4.247,5.207,5.88,4.2,4.697
p24,terminal,terminal_first,711.667,78.667,3.667,102.667,4.642,5.403,4.943,3.23,5.023
