participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note
p01,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,736,99,3,123,4.46,4.37,6.74,5.97,4.23,4.98,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p01,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,815,83,3,85,4.31,4.72,6.07,5.54,4.17,5.98,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p01,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,582,81,5,67,5.13,4.02,5.23,4.78,4.86,4.78,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p01,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,697,77,4,87,4.49,4.56,5.93,5.44,3.22,4.73,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p01,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,952,67,5,127,5.89,6.19,4.07,5.09,3.35,5.1,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p01,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,595,93,2,75,4.52,4.26,5.55,5.56,3.41,4.67,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p02,terminal_first,terminal,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,510,86,2,74,4.06,4.22,5.81,5.83,2.76,4.68,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p02,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,886,65,4,155,5.59,5.33,4.82,5.01,2.32,3.98,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p02,terminal_first,terminal,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,529,85,3,80,4.33,4.68,5.64,6.3,3.93,5.22,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p02,terminal_first,canvas,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,759,84,2,72,4.12,3.64,6.74,4.75,3.85,6.12,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p02,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,704,81,5,62,3.23,4.95,6.34,6.35,4.72,6.55,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p02,terminal_first,canvas,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,540,87,3,79,4.8,4.8,5.35,4.86,3.96,4.84,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p03,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,742,83,5,96,3.85,4.22,5.28,5.95,4.37,5.88,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p03,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,721,86,3,89,3.6,4.94,5.99,5.47,4.42,4.63,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p03,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,709,87,4,100,4.16,5.06,5.51,5.94,4.21,4.89,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p03,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,583,67,4,106,4.84,4.58,4.89,6.18,4.81,5.02,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
